place,type,budget,activity,climate,value,image
Nuwara Eliya,"Nature,Scenic",Medium,Relaxation,Cool,"Known as Little England, this hill station is popular for weekend getaways, cool weather, and beautiful tea estates. It's a budget-friendly spot for locals looking to escape the heat of the lowlands.",images/nuwara_eliya.png
Ella,"Nature,Scenic",Low,Adventure,Cool,"Ella offers stunning views, hiking trails, and waterfalls like Ravana Falls and Ella Rock. It's a perfect destination for nature lovers and those looking for adventure, while staying within a local budget.",images/ella.png
Kandy,"Historical, Nature, Religious,Cultural",Medium,Relaxation,Cool,"The cultural capital of Sri Lanka, Kandy is home to the Temple of the Tooth Relic and the scenic Kandy Lake. Local tourists often visit for cultural events, religious reasons, and natural beauty.",images/kandy.png
Galle,"Historical, Coastal,Cultural",Medium,Relaxation,Hot,"A historical city with the Galle Fort, beaches like Unawatuna, and plenty of local heritage. It’s a combination of history, beaches, and shopping at reasonable prices for locals.",images/galle.png
Sigiriya,"Historical,Archaeological",Medium,Adventure,Hot,"Sigiriya, with its Lion's Rock, is an iconic cultural and historical site. While ticket prices may be higher, locals find value in the rich history and panoramic views.",images/sigiriya.png
Polonnaruwa,"Historical,Religious",Low,Relaxation,Hot,"As an ancient city and a UNESCO World Heritage site, Polonnaruwa offers insight into Sri Lanka’s history with its ruins and temples. It's a great spot for a day trip from nearby areas like Habarana.",images/polonnaruwa.png
Hikkaduwa,"Coastal,Marine",Medium,Adventure,Hot,"Known for its snorkeling and beautiful beaches, Hikkaduwa is a favorite weekend destination for locals seeking sun and sea at affordable prices.",images/hikkaduwa1.png
Mirissa,"Coastal,Marine",Low,Relaxation,Hot,"Popular with local tourists for its beach activities, whale watching, and relaxed vibe. It's a great weekend getaway, offering a range of accommodations from budget to mid-range.",images/mirissa.png
Bentota,Coastal,High,Relaxation,Hot,"Bentota offers water sports like jet skiing and windsurfing. It’s a good mix of relaxation and adventure, making it a popular destination for locals seeking a coastal retreat.",images/bentota.png
Anuradhapura,"Historical,Religious,Archaeological",Medium,Relaxation,Hot,"One of the most important historical and religious sites in Sri Lanka, Anuradhapura is a popular spot for locals interested in Buddhist history and culture. It's easily accessible and offers a deep cultural experience.",images/anuradhapura.png
Trincomalee,"Coastal, Historical",Medium,Relaxation,Hot,"Trincomalee offers beautiful beaches, such as Uppuveli and Nilaveli, alongside cultural and historical sites like Koneswaram Temple. It’s a great mix of relaxation and exploration for local tourists.",images/trincomalee.png
Dambulla,"Historical,Religious,Archaeological",Low,Relaxation,Hot,The Dambulla Cave Temple is an important cultural and religious landmark. Local tourists often visit for its historical significance and peaceful surroundings.,images/dambulla.png
Arugam Bay,Coastal,Low,Adventure,Hot,"Arugam Bay is one of the top surf spots in Sri Lanka, drawing locals who enjoy surfing and the laid-back atmosphere of the beach. It’s a great affordable option for adventurous travelers.",images/arugam_bay.png
Kithulgala ,Nature,Low,Adventure,Cool,"Known for white-water rafting on the Kelani River and eco-tourism experiences, Kithulgala is a favorite for adventure lovers. It’s easily accessible and offers an affordable and fun experience.",images/kithulgala.png
Horton Plains National Park,"Nature,Wildlife",Medium,Adventure,Cool,"Famous for the World’s End viewpoint, this park offers beautiful hiking trails, diverse wildlife, and cooler climates, making it a popular eco-tourism destination.",images/hortan_planes.png
Katharagama,"Historical,Religious",Low,Relaxation,Hot,"Kataragama is a significant religious site for both Buddhists and Hindus. The Kataragama Temple is a popular pilgrimage spot, especially for locals. It offers a serene and spiritual experience and is accessible for budget travelers.",images/katharagama.png
Udawalawe National Park,Wildlife,Medium,Adventure,Hot,"Popular for safari tours, Udawalawe is home to a large population of elephants and other wildlife. Local tourists visit for a nature experience and wildlife photography. It offers a more affordable alternative to Yala National Park.",images/udawalawe.png
Peradeniya ,Nature,Medium,Relaxation,Cool,"The Royal Botanical Gardens in Peradeniya, Kandy, are famous for their lush landscapes and diverse flora. It’s a favorite spot for locals looking for a peaceful day out, picnics, and a stroll among nature.",images/pera.png
Weligama,Coastal,Low,Relaxation,Hot,"Known for its surfing spots and relaxed atmosphere, Weligama is a popular beach destination for local tourists, especially for those who enjoy surfing, beach walks, and fresh seafood.",images/weligama.png
